HolderAddress,Balance
0xFE53d8d12881F2c7FA6144173717874691A753D4,13
0x9b297cf5dA7c4902Fd0Bf79fdC72b0D9300BA549,13
0x73F498AEaf2feeAEEEf4B917BA225394313eF6ec,13
0x6c16619028747AB3fE4469EbAB20115c4b7622dE,13
0x5808994F8b4C96ca646CDED34d085B6138E85a4B,13
0x249CA69962eC73476E9fF7732ed37CFB4fAB9765,13
0xe5F8427078049329A663B308b43e5A2F89849789,12
0xE3b3627971Afbd20C1c9ec475dCf896b55804259,12
0xD7196410235341A2F9640deB707C026B1Cc2bdFC,12
0xA0E46E501eeCd76D8802ceE112c635C8e8A5F79d,12
0x733136Cd41787Ea5712ff53016AB108358A28b63,12
0x6D266eBa0f9210123AbdAd96D90d246d9BAdE701,12
0x692F5c61547954d5224a851e0283c9DBD296c84F,12
0x5ACcC350f8fbCB8c83642B4DB74cf4f2dD1FffA9,12
0x5361f7DB8FcE34Fe9d4F720DBf5a1a3b5eA39eBA,12
0x49307A9aa1bf5A83D392217236F348cfb4AF174B,12
0x3FdE951d13612fFA5A8b6F4C9E5797E34Be64e43,12
0x2d9F2afbA77909B53B9569f602448a38Fe7Ea986,12
0x1Db440F3C46C517072C172b183C966b3a68D0bE0,12
0xFd6d1dB4724b069ac8cAf14A447a9cdbCE4Dff98,11
0xfcD3dB2816b3904656a03e1a59411b16361dA4A7,11
0xfBbD81a18376487B61167cC7819Cc5B55998FCf0,11
0xfA7f4a5232Be03E294457dDedE777558CF01dC6e,11
0xfa009D51f7a62B5bd5D514D44499DcC68d0EEb1a,11
0xF59be787fe38cB3D89027215a41f3d6887e8CCC6,11
0xf1bf2C1595F7Cf4666d57E2B82dC91e286D7C485,11
0xEFC657eB34c48eB5a104282E1C21F2D880ED510c,11
0xE91E119153b289dDe0201dD6Ae9A5Bc8F612B316,11
0xDC667CbE9CE1f2d97a03628540a48e7594B6137b,11
0xb66D9f5Ea3Df78731fb38a834D3C0cdEFe3FFa2A,11
0xAaD5A24E05884715b0DE34f2530334311Fa07165,11
0xa21DE2A6e2A80e17748f20784059455D0b541387,11
0x9C6b08515B6414eA390f9c3c3D72B14146618E09,11
0x905110ef3e5Ed067DBEdb614ee3b01D17219B30f,11
0x8F97f077b2EaCa02c6F95AA8725afe69BfCD7931,11
0x8b5EE8Bc945382b76426a47A86098BF0ab05ab6e,11
0x85AAd03D3E70ffcb3abc524e1F9ff2dFb8548b83,11
0x7b2F4Bd6f8148c26172A93e6f82f1735098c6C9e,11
0x626AC7275E731DAb848Ba66daAC266E7C4edFFc0,11
0x5F685F91A63d7A1E298688b6Dd03ECDE5d338d21,11
0x51829763CBc24C0aA484DF5858cb1AFcD1e87E53,11
0x3e95053476A99BB36dD240664Ed0D7AF50E8BF97,11
0x3Ac6F649b5A3758Ca7ba085631a82C700ea319d6,11
0x1bE18De3Aa85ef2D69EdB57D2b1804c3A0A3DB2A,11
0x17F607b9068Ba6F4c0A5e4c1456aBB1Fa6D22629,11
0x12f757dBA61C8D05a93fE69C73872016A3Cd5964,11
0xFEb1509893Be3963F295036c94BB74bf9c50AD36,10
0xfbC6d9b42Ed867092E24064899047cc1b045696a,10
0xF6f0cc35c1aD0AF84576464a1de1c7d00B220fF2,10
0xF38A9A487D5357374C0207245Bb42d364Ff2a17f,10
0xEf9996417898507DD925e9DB00939f109FCc851E,10
0xeE520B72e4772E9bcb29a7B5940ACeC3d82AC9B1,10
0xEC2Ff6b7FFB96a42535bdd75bE2F65fc6c091a87,10
0xE90ad161e69d7CdaFE5BB910EC7fB43579864842,10
